GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0032727	positive regulation of interferon-alpha ...	20	0	1.36	1.00000
GO:0032741	positive regulation of interleukin-18 pr...	6	0	0.41	1.00000
GO:0032754	positive regulation of interleukin-5 pro...	8	0	0.54	1.00000
GO:0032780	negative regulation of ATP-dependent act...	9	0	0.61	1.00000
GO:0032781	positive regulation of ATP-dependent act...	18	0	1.22	1.00000
GO:0032784	regulation of DNA-templated transcriptio...	99	0	6.74	1.00000
GO:0032785	negative regulation of DNA-templated tra...	25	0	1.7	1.00000
GO:0032786	positive regulation of DNA-templated tra...	62	0	4.22	1.00000
GO:0032793	positive regulation of CREB transcriptio...	9	0	0.61	1.00000
GO:0032808	lacrimal gland development	6	0	0.41	1.00000
GO:0032874	positive regulation of stress-activated ...	17	0	1.16	1.00000
GO:0032897	negative regulation of viral transcripti...	15	0	1.02	1.00000
GO:0032906	transforming growth factor beta2 product...	7	0	0.48	1.00000
GO:0032909	regulation of transforming growth factor...	7	0	0.48	1.00000
GO:0032927	positive regulation of activin receptor ...	6	0	0.41	1.00000
GO:0032928	regulation of superoxide anion generatio...	15	0	1.02	1.00000
GO:0032930	positive regulation of superoxide anion ...	14	0	0.95	1.00000
GO:0032933	SREBP signaling pathway	16	0	1.09	1.00000
GO:0032954	regulation of cytokinetic process	7	0	0.48	1.00000
GO:0032968	positive regulation of transcription elo...	55	0	3.74	1.00000
GO:0032981	mitochondrial respiratory chain complex ...	40	0	2.72	1.00000
GO:0032988	protein-RNA complex disassembly	9	0	0.61	1.00000
GO:0033013	tetrapyrrole metabolic process	52	0	3.54	1.00000
GO:0033014	tetrapyrrole biosynthetic process	31	0	2.11	1.00000
GO:0033015	tetrapyrrole catabolic process	8	0	0.54	1.00000
GO:0033080	immature T cell proliferation in thymus	6	0	0.41	1.00000
GO:0033081	regulation of T cell differentiation in ...	18	0	1.22	1.00000
GO:0033084	regulation of immature T cell proliferat...	6	0	0.41	1.00000
GO:0033085	negative regulation of T cell differenti...	6	0	0.41	1.00000
GO:0033119	negative regulation of RNA splicing	25	0	1.7	1.00000
GO:0033137	negative regulation of peptidyl-serine p...	7	0	0.48	1.00000
GO:0033152	immunoglobulin V(D)J recombination	7	0	0.48	1.00000
GO:0033206	meiotic cytokinesis	7	0	0.48	1.00000
GO:0033233	regulation of protein sumoylation	21	0	1.43	1.00000
GO:0033234	negative regulation of protein sumoylati...	8	0	0.54	1.00000
GO:0033235	positive regulation of protein sumoylati...	13	0	0.88	1.00000
GO:0033299	secretion of lysosomal enzymes	7	0	0.48	1.00000
GO:0033314	mitotic DNA replication checkpoint signa...	10	0	0.68	1.00000
GO:0033327	Leydig cell differentiation	8	0	0.54	1.00000
GO:0033504	floor plate development	7	0	0.48	1.00000
GO:0033540	fatty acid beta-oxidation using acyl-CoA...	13	0	0.88	1.00000
GO:0033572	transferrin transport	10	0	0.68	1.00000
GO:0033598	mammary gland epithelial cell proliferat...	25	0	1.7	1.00000
GO:0033599	regulation of mammary gland epithelial c...	15	0	1.02	1.00000
GO:0033601	positive regulation of mammary gland epi...	6	0	0.41	1.00000
GO:0033615	mitochondrial proton-transporting ATP sy...	7	0	0.48	1.00000
GO:0033617	mitochondrial cytochrome c oxidase assem...	26	0	1.77	1.00000
GO:0033700	phospholipid efflux	8	0	0.54	1.00000
GO:0033750	ribosome localization	13	0	0.88	1.00000
GO:0033962	P-body assembly	23	0	1.56	1.00000
GO:0034080	CENP-A containing chromatin assembly	11	0	0.75	1.00000
GO:0034085	establishment of sister chromatid cohesi...	9	0	0.61	1.00000
GO:0034086	maintenance of sister chromatid cohesion	13	0	0.88	1.00000
GO:0034087	establishment of mitotic sister chromati...	7	0	0.48	1.00000
GO:0034088	maintenance of mitotic sister chromatid ...	13	0	0.88	1.00000
GO:0034091	regulation of maintenance of sister chro...	9	0	0.61	1.00000
GO:0034093	positive regulation of maintenance of si...	6	0	0.41	1.00000
GO:0034123	positive regulation of toll-like recepto...	6	0	0.41	1.00000
GO:0034134	toll-like receptor 2 signaling pathway	15	0	1.02	1.00000
GO:0034135	regulation of toll-like receptor 2 signa...	10	0	0.68	1.00000
GO:0034137	positive regulation of toll-like recepto...	7	0	0.48	1.00000
GO:0034139	regulation of toll-like receptor 3 signa...	12	0	0.82	1.00000
GO:0034141	positive regulation of toll-like recepto...	6	0	0.41	1.00000
GO:0034144	negative regulation of toll-like recepto...	8	0	0.54	1.00000
GO:0034145	positive regulation of toll-like recepto...	12	0	0.82	1.00000
GO:0034163	regulation of toll-like receptor 9 signa...	8	0	0.54	1.00000
GO:0034182	regulation of maintenance of mitotic sis...	9	0	0.61	1.00000
GO:0034184	positive regulation of maintenance of mi...	6	0	0.41	1.00000
GO:0034214	protein hexamerization	12	0	0.82	1.00000
GO:0034243	regulation of transcription elongation b...	90	0	6.12	1.00000
GO:0034244	negative regulation of transcription elo...	22	0	1.5	1.00000
GO:0034260	negative regulation of GTPase activity	13	0	0.88	1.00000
GO:0034342	response to type III interferon	7	0	0.48	1.00000
